0,1,2
rxn02004_c11,0,rxn02004_c11: cpd00001_c11 + cpd00523_c11 --> cpd00009_c11 + cpd00794_c11
rxn00442_c11,0,rxn00442_c11: cpd00024_c11 + cpd00056_c11 + 2.0 cpd00067_c11 --> cpd00011_c11 + cpd03450_c11
rxn03536_c11,0,rxn03536_c11: cpd00002_c11 + cpd03918_c11 --> cpd00008_c11 + cpd00067_c11 + cpd03919_c11
rxn35572_c11,0,rxn35572_c11: cpd19032_c11 --> cpd00106_c11 + cpd02851_c11
rxn01974_c11,0,rxn01974_c11: cpd00504_c11 <=> cpd00516_c11
rxn00786_c11,0.224197724,rxn00786_c11: cpd00290_c11 <=> cpd00095_c11 + cpd00102_c11
rxn00247_c11,0,rxn00247_c11: cpd00002_c11 + cpd00032_c11 --> cpd00008_c11 + cpd00011_c11 + cpd00061_c11
rxn01332_c11,0,rxn01332_c11: cpd00001_c11 + cpd00061_c11 + cpd00236_c11 --> cpd00009_c11 + cpd02857_c11
rxn05179_c11,0,rxn05179_c11: cpd00001_c11 + cpd00002_c11 + cpd00322_e2 --> cpd00008_c11 + cpd00009_c11 + cpd00067_c11 + cpd00322_c11
POR_c11,0,POR_c11: cpd00010_c11 + cpd00020_c11 + fdxo-4-COLON-2-c_c11 <=> cpd00011_c11 + cpd00022_c11 + cpd00067_c11 + fdxr-4-COLON-2-c_c11
rxn00545_c11,0,rxn00545_c11: cpd00002_c11 + cpd00072_c11 --> cpd00008_c11 + cpd00067_c11 + cpd00290_c11
rxn00029_c11,0,rxn00029_c11: 2.0 cpd00338_c11 --> 2.0 cpd00001_c11 + cpd00067_c11 + cpd00689_c11
rxn01997_c11,0,rxn01997_c11: cpd00626_c11 --> cpd00001_c11 + cpd00521_c11
HDACPHL_c11,13.00190281,HDACPHL_c11: cpd00001_c11 + hdeacp-c_c11 --> acp-c_c11 + cpd00067_c11 + cpd00214_c11
rxn02405_c11,0,rxn02405_c11: cpd00052_c11 + cpd00875_c11 --> cpd00012_c11 + cpd02546_c11
rxn03892_c11,0,rxn03892_c11: cpd00113_c11 + cpd02591_c11 --> cpd00012_c11 + cpd00906_c11
rxn01011_c11,0,rxn01011_c11: cpd00004_c11 + cpd00067_c11 + cpd00145_c11 <=> cpd00003_c11 + cpd00223_c11
rxn01791_c11,0,rxn01791_c11: cpd00002_c11 + cpd00085_c11 + cpd00408_c11 --> cpd00012_c11 + cpd00018_c11 + cpd00067_c11 + cpd00644_c11
DAGK_c11,0,DAGK_c11: cpd00002_c11 + cpd19004_c11 --> cpd00008_c11 + cpd00067_c11 + cpd11422_c11
rxn09037_c11,0,rxn09037_c11: 5.0 cpd00113_c11 + cpd00350_c11 --> 5.0 cpd00012_c11 + cpd02557_c11
rxn03491_c11,0,rxn03491_c11: 2.0 cpd00017_c11 + cpd03760_c11 --> cpd00011_c11 + 2.0 cpd00019_c11 + 2.0 cpd00067_c11 + cpd03835_c11
rxn02508_c11,0,rxn02508_c11: cpd02642_c11 <=> cpd00956_c11
rxn10003_c11,0,rxn10003_c11: cpd00052_c11 + cpd00084_c11 + cpd02201_c11 --> cpd00009_c11 + cpd00067_c11 + cpd00096_c11 + cpd02666_c11
rxn10038_c11,0,rxn10038_c11: 11.0 cpd00005_c11 + 16.0 cpd00067_c11 + 6.0 cpd00070_c11 + cpd01882_c11 --> 5.0 cpd00001_c11 + 11.0 cpd00006_c11 + 7.0 cpd00010_c11 + 6.0 cpd00011_c11 + cpd15601_c11
rxn10577_c11,0,rxn10577_c11: cpd00528_c11 <=> cpd00528_e2
HDMAT7_c11,13.00961827,HDMAT7_c11: 2thdeacp-c_c11 + cpd00004_c11 + cpd00067_c11 --> cpd00003_c11 + hdeacp-c_c11
GLGC_c11,1.849657065,GLGC_c11: cpd00002_c11 + cpd00067_c11 + cpd00089_c11 --> adpglc-c_c11 + cpd00012_c11
rxn05168_c11,0,rxn05168_c11: cpd00001_c11 + cpd00002_c11 + cpd00156_e2 --> cpd00008_c11 + cpd00009_c11 + cpd00067_c11 + cpd00156_c11
rxn30674_c11,0,rxn30674_c11: cpd00001_c11 + cpd00106_c11 <=> cpd00130_c11
PSRED3_e2,0,PSRED3_e2: 2.0 cpd00067_e2 + cpd23255_c11 + ss-e_e2 --> 2.0 cpd00239_e2 + cpd11606_c11
UACAT_c11,0,UACAT_c11: 3htdacp-c_c11 + cpd00037_c11 --> acp-c_c11 + cpd02886_c11
rxn05602_c11,0,rxn05602_c11: cpd00067_e2 + cpd00159_e2 --> cpd00067_c11 + cpd00159_c11
rxn10622_c11,0,rxn10622_c11: cpd00062_c11 + cpd00939_c11 --> cpd00014_c11 + cpd00067_c11 + cpd02775_c11
MCMAT5_c11,13.05235,MCMAT5_c11: cpd00067_c11 + decacp-c_c11 + malacp-c_c11 --> 3oxddacp-c_c11 + acp-c_c11 + cpd00011_c11
KAS1_c11,0.002610902,KAS1_c11: 10.0 cpd00005_c11 + 14.0 cpd00067_c11 + 5.0 cpd00070_c11 + ibcoa-c_c11 --> 4.0 cpd00001_c11 + 10.0 cpd00006_c11 + 6.0 cpd00010_c11 + 5.0 cpd00011_c11 + cpd11430_c11
rxn00832_c11,0,rxn00832_c11: cpd00001_c11 + cpd00114_c11 <=> cpd02884_c11
rxn02474_c11,0,rxn02474_c11: cpd00005_c11 + cpd00067_c11 + cpd00931_c11 --> cpd00006_c11 + cpd02720_c11
rxn05488_c11,0,rxn05488_c11: cpd00029_e2 + cpd00067_e2 <=> cpd00029_c11 + cpd00067_c11
PGLUSYN_c11,0,PGLUSYN_c11: cpd00002_c11 + cpd00186_c11 --> cpd00008_c11 + cpd00009_c11 + cpd00067_c11 + polglu-c_c11
